id,title,price,google_product_category,identifier_exists,brand,custom_label_0,custom_label_1,custom_label_2
1490,"Vparfum Vanilla Blend 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1491,"Vparfum Vanilla Blend 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1492,"Vparfum Vanilla Blend 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1493,"Vparfum Vanilla Blend 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1495,"Vparfum Painter 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1496,"Vparfum Painter 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1497,"Vparfum Painter 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1498,"Vparfum Good Girl 125мл, ароматизатор для авто Vparfum, бергамот, кава, мигдаль",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1499,"Vparfum Good Girl 100 мл, парфум, бергамот, кава, мигдаль",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1500,"Vparfum Good Girl 50 мл, парфум, бергамот, кава, мигдаль",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1501,"Vparfum Good Girl 10 мл тестер, парфум, бергамот, кава, мигдаль",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1502,"Vparfum Blackberry & Bay 125мл, ароматизатор для авто Vparfum, ожина",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1503,"Vparfum Blackberry & Bay 100 мл, парфум, ожина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1504,"Vparfum Blackberry & Bay 50 мл, парфум, ожина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1505,"Vparfum Blackberry & Bay 10 мл тестер, парфум, ожина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1506,"Vparfum Elysium 125мл, ароматизатор для авто Vparfum, артемізія, бергамот, гальбанум, грейпфрут",625.00 UAH,2789,no,Vparfum,,car_parfum,oriental
1507,"Vparfum Elysium 100 мл, східний парфум, артемізія, бергамот, гальбанум, грейпфрут",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1508,"Vparfum Elysium 50 мл, східний парфум, артемізія, бергамот, гальбанум, грейпфрут",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1509,"Vparfum Elysium 10 мл тестер, східний парфум, артемізія, бергамот, гальбанум, грейпфрут",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1510,"Vparfum Smoking Hot 125мл, ароматизатор для авто Vparfum, дим, кориця, яблуконота сердця: ваніль, мох",625.00 UAH,2789,no,Vparfum,,car_parfum,oriental
1511,"Vparfum Smoking Hot 100 мл, східний парфум, дим, кориця, яблуконота сердця: ваніль, мох",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1512,"Vparfum Smoking Hot 50 мл, східний парфум, дим, кориця, яблуконота сердця: ваніль, мох",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1513,"Vparfum Smoking Hot 10 мл тестер, східний парфум, дим, кориця, яблуконота сердця: ваніль, мох",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1514,"Vparfum Brutus 125мл, ароматизатор для авто Vparfum",850.00 UAH,2789,no,Vparfum,,car_parfum,other
1515,"Vparfum Brutus 100 мл, парфум",2000.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1516,"Vparfum Brutus 50 мл, парфум",1050.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1517,"Vparfum Brutus 10 мл тестер, парфум",300.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1518,"Vparfum Cuoium 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1519,"Vparfum Cuoium 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1520,"Vparfum Cuoium 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1521,"Vparfum Cuoium 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1522,"Vparfum White Chocola 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1523,"Vparfum White Chocola 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1524,"Vparfum White Chocola 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1525,"Vparfum White Chocola 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1528,"Vparfum Aventus Absolu 125мл, ароматизатор для авто Vparfum, бергамот, грейпфрут, чорна смородина",725.00 UAH,2789,no,Vparfum,,car_parfum,derevynni
1529,"Vparfum Aventus Absolu 100 мл, деревинні парфум, бергамот, грейпфрут, чорна смородина",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
1530,"Vparfum Aventus Absolu 10 мл тестер, деревинні парфум, бергамот, грейпфрут, чорна смородина",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
1531,"Vparfum Aventus Absolu 50 мл, деревинні парфум, бергамот, грейпфрут, чорна смородина",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
1532,"Vparfum Absolute Aphrodisiac 125мл, ароматизатор для авто Vparfum, білі квіти",725.00 UAH,2789,no,Vparfum,,car_parfum,spicy
1533,"Vparfum Absolute Aphrodisiac 100 мл, пряний парфум, білі квіти",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,spicy
1534,"Vparfum Absolute Aphrodisiac 50 мл, пряний парфум, білі квіти",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,spicy
1535,"Vparfum Absolute Aphrodisiac 10 мл тестер, пряний парфум, білі квіти",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,spicy
1536,"Vparfum Side Effect 125мл, ароматизатор для авто Vparfum, ваніль",625.00 UAH,2789,no,Vparfum,,car_parfum,sweet
1537,"Vparfum Side Effect 100 мл, солодкий парфум, ваніль",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,sweet
1538,"Vparfum Side Effect 50 мл, солодкий парфум, ваніль",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,sweet
1539,"Vparfum Side Effect 10 мл тестер, солодкий парфум, ваніль",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,sweet
1540,"Vparfum Black Lacquer 125мл, ароматизатор для авто Vparfum",850.00 UAH,2789,no,Vparfum,,car_parfum,other
1541,"Vparfum Black Lacquer 100 мл, парфум",2000.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1542,"Vparfum Black Lacquer 50 мл, парфум",1050.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1543,"Vparfum Black Lacquer 10 мл тестер, парфум",300.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1544,"Vparfum Oud Maracuja 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1545,"Vparfum Oud Maracuja 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1546,"Vparfum Oud Maracuja 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1547,"Vparfum Oud Maracuja 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1548,"Vparfum Ombre Nomade 125мл, ароматизатор для авто Vparfum, малина",625.00 UAH,2789,no,Vparfum,,car_parfum,oriental
1549,"Vparfum Ombre Nomade 100 мл, східний парфум, малина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1550,"Vparfum Ombre Nomade 50 мл, східний парфум, малина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1551,"Vparfum Ombre Nomade 10 мл тестер, східний парфум, малина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1552,"Vparfum Queen of Silk 125мл, ароматизатор для авто Vparfum",725.00 UAH,2789,no,Vparfum,,car_parfum,other
1553,"Vparfum Queen of Silk 100 мл, парфум",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1554,"Vparfum Queen of Silk 50 мл, парфум",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1555,"Vparfum Queen of Silk 10 мл тестер, парфум",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1556,"Vparfum Oud Satin Mood 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1557,"Vparfum Oud Satin Mood 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1558,"Vparfum Oud Satin Mood 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1559,"Vparfum Oud Satin Mood 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1560,"Vparfum Afternoon Swim 125мл, ароматизатор для авто Vparfum, бергамот",625.00 UAH,2789,no,Vparfum,,car_parfum,citrus
1561,"Vparfum Afternoon Swim 100 мл, цитрусовий парфум, бергамот",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,citrus
1562,"Vparfum Afternoon Swim 50 мл, цитрусовий парфум, бергамот",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,citrus
1563,"Vparfum Afternoon Swim 10 мл тестер, цитрусовий парфум, бергамот",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,citrus
1564,"Vparfum Isola Blu 100 мл, парфум, бергамот, лаванда, лайм, лимон",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1565,"Vparfum Isola Blu 125мл, ароматизатор для авто Vparfum, бергамот, лаванда, лайм, лимон",625.00 UAH,2789,no,Vparfum,,car_parfum,other
